date,coinbase_unscaled,coinbase_monthly,isPartial,scale,coinbase
2019-03-11,48,2.0,,0.02,0.96
2019-03-12,45,2.0,,0.02,0.9
2019-03-13,51,2.0,,0.02,1.02
2019-03-14,66,2.0,,0.02,1.32
2019-03-15,48,2.0,,0.02,0.96
2019-03-16,48,2.0,,0.02,0.96
2019-03-17,46,2.0,False,0.02,0.92
2019-03-18,63,2.0,,0.02,1.26
2019-03-19,100,2.0,,0.02,2.0
2019-03-20,52,2.0,,0.02,1.04
2019-03-21,53,2.0,,0.02,1.06
2019-03-22,61,2.0,,0.02,1.22
2019-03-23,58,2.0,,0.02,1.16
2019-03-24,50,3.0,False,0.03,1.5
2019-03-25,50,3.0,,0.03,1.5
