date,btc_unscaled,btc_monthly,isPartial,scale,btc
2020-12-20,52,7.0,False,0.07,3.6400000000000006
2020-12-21,61,7.0,,0.07,4.2700000000000005
2020-12-22,51,7.0,,0.07,3.5700000000000003
2020-12-23,51,7.0,,0.07,3.5700000000000003
2020-12-24,46,7.0,,0.07,3.22
2020-12-25,48,7.0,,0.07,3.3600000000000003
2020-12-26,68,7.0,,0.07,4.760000000000001
2020-12-27,90,10.0,False,0.1,9.0
2020-12-28,70,10.0,,0.1,7.0
2020-12-29,56,10.0,,0.1,5.6000000000000005
2020-12-30,68,10.0,,0.1,6.800000000000001
2020-12-31,75,10.0,,0.1,7.5
2021-01-01,41,10.0,,0.1,4.1000000000000005
2021-01-02,73,10.0,,0.1,7.300000000000001
2021-01-03,84,15.0,False,0.15,12.6
2021-01-04,70,15.0,,0.15,10.5
2021-01-05,55,15.0,,0.15,8.25
2021-01-06,63,15.0,,0.15,9.45
2021-01-07,91,15.0,,0.15,13.65
2021-01-08,90,15.0,,0.15,13.5
2021-01-09,68,15.0,,0.15,10.2
2021-01-10,69,14.0,False,0.14,9.66
2021-01-11,100,14.0,,0.14,14.000000000000002
2021-01-12,72,14.0,,0.14,10.080000000000002
2021-01-13,60,14.0,,0.14,8.4
2021-01-14,64,14.0,,0.14,8.96
2021-01-15,61,14.0,,0.14,8.540000000000001
2021-01-16,53,14.0,,0.14,7.420000000000001
2021-01-17,49,9.0,False,0.09,4.41
2021-01-18,40,9.0,,0.09,3.5999999999999996
2021-01-19,46,9.0,,0.09,4.14
2021-01-20,46,9.0,,0.09,4.14
2021-01-21,54,9.0,,0.09,4.859999999999999
2021-01-22,55,9.0,,0.09,4.95
2021-01-23,42,9.0,,0.09,3.78
2021-01-24,41,9.0,False,0.09,3.69
2021-01-25,42,9.0,,0.09,3.78
2021-01-26,34,9.0,,0.09,3.06
2021-01-27,39,9.0,,0.09,3.51
2021-01-28,41,9.0,,0.09,3.69
2021-01-29,69,9.0,,0.09,6.21
2021-01-30,43,9.0,,0.09,3.8699999999999997
2021-01-31,36,8.0,False,0.08,2.88
2021-02-01,43,8.0,,0.08,3.44
2021-02-02,38,8.0,,0.08,3.04
2021-02-03,41,8.0,,0.08,3.2800000000000002
2021-02-04,42,8.0,,0.08,3.36
2021-02-05,39,8.0,,0.08,3.12
2021-02-06,53,8.0,,0.08,4.24
2021-02-07,40,12.0,False,0.12,4.8
2021-02-08,77,12.0,,0.12,9.24
2021-02-09,91,12.0,,0.12,10.92
2021-02-10,62,12.0,,0.12,7.4399999999999995
2021-02-11,61,12.0,,0.12,7.319999999999999
2021-02-12,58,12.0,,0.12,6.96
2021-02-13,51,12.0,,0.12,6.12
2021-02-14,53,13.0,False,0.13,6.890000000000001
2021-02-15,58,13.0,,0.13,7.54
2021-02-16,63,13.0,,0.13,8.19
2021-02-17,68,13.0,,0.13,8.84
2021-02-18,61,13.0,,0.13,7.930000000000001
2021-02-19,76,13.0,,0.13,9.88
2021-02-20,80,13.0,,0.13,10.4
2021-02-21,69,14.0,False,0.14,9.66
2021-02-22,80,14.0,,0.14,11.200000000000001
2021-02-23,100,14.0,,0.14,14.000000000000002
2021-02-24,74,14.0,,0.14,10.360000000000001
2021-02-25,60,14.0,,0.14,8.4
2021-02-26,64,14.0,,0.14,8.96
2021-02-27,51,14.0,,0.14,7.140000000000001
2021-02-28,57,10.0,False,0.1,5.7
2021-03-01,86,10.0,,0.1,8.6
2021-03-02,76,10.0,,0.1,7.6000000000000005
2021-03-03,75,10.0,,0.1,7.5
2021-03-04,74,10.0,,0.1,7.4
2021-03-05,61,10.0,,0.1,6.1000000000000005
2021-03-06,63,10.0,,0.1,6.300000000000001
2021-03-07,68,10.0,False,0.1,6.800000000000001
2021-03-08,71,10.0,,0.1,7.1000000000000005
2021-03-09,77,10.0,,0.1,7.7
2021-03-10,81,10.0,,0.1,8.1
2021-03-11,72,10.0,,0.1,7.2
2021-03-12,74,10.0,,0.1,7.4
2021-03-13,100,10.0,,0.1,10.0
2021-03-14,86,10.0,False,0.1,8.6
2021-03-15,80,10.0,,0.1,8.0
2021-03-16,77,10.0,,0.1,7.7
2021-03-17,71,10.0,,0.1,7.1000000000000005
2021-03-18,73,10.0,,0.1,7.300000000000001
2021-03-19,63,10.0,,0.1,6.300000000000001
2021-03-20,61,10.0,,0.1,6.1000000000000005
2021-03-21,61,9.0,False,0.09,5.49
2021-03-22,70,9.0,,0.09,6.3
2021-03-23,68,9.0,,0.09,6.12
2021-03-24,71,9.0,,0.09,6.39
2021-03-25,81,9.0,,0.09,7.29
2021-03-26,63,9.0,,0.09,5.67
2021-03-27,64,9.0,,0.09,5.76
2021-03-28,54,9.0,False,0.09,4.859999999999999
2021-03-29,64,9.0,,0.09,5.76
2021-03-30,69,9.0,,0.09,6.21
2021-03-31,68,9.0,,0.09,6.12
2021-04-01,53,9.0,,0.09,4.77
2021-04-02,52,9.0,,0.09,4.68
2021-04-03,50,9.0,,0.09,4.5
2021-04-04,45,9.0,False,0.09,4.05
2021-04-05,52,9.0,,0.09,4.68
2021-04-06,52,9.0,,0.09,4.68
2021-04-07,50,9.0,,0.09,4.5
2021-04-08,51,9.0,,0.09,4.59
2021-04-09,44,9.0,,0.09,3.96
2021-04-10,53,9.0,,0.09,4.77
2021-04-11,46,9.0,False,0.09,4.14
2021-04-12,49,9.0,,0.09,4.41
2021-04-13,64,9.0,,0.09,5.76
2021-04-14,69,9.0,,0.09,6.21
2021-04-15,56,9.0,,0.09,5.04
2021-04-16,60,9.0,,0.09,5.3999999999999995
2021-04-17,54,9.0,,0.09,4.859999999999999
