date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2020-05-13,34,17.0,,0.17,5.78
2020-05-14,57,17.0,,0.17,9.690000000000001
2020-05-15,49,17.0,,0.17,8.33
2020-05-16,43,17.0,,0.17,7.3100000000000005
2020-05-17,37,13.0,False,0.13,4.8100000000000005
2020-05-18,41,13.0,,0.13,5.33
2020-05-19,53,13.0,,0.13,6.890000000000001
2020-05-20,42,13.0,,0.13,5.46
2020-05-21,50,13.0,,0.13,6.5
2020-05-22,43,13.0,,0.13,5.59
2020-05-23,34,13.0,,0.13,4.42
2020-05-24,21,11.0,False,0.11,2.31
2020-05-25,42,11.0,,0.11,4.62
2020-05-26,34,11.0,,0.11,3.74
2020-05-27,34,11.0,,0.11,3.74
2020-05-28,30,11.0,,0.11,3.3
2020-05-29,31,11.0,,0.11,3.41
2020-05-30,28,11.0,,0.11,3.08
2020-05-31,53,13.0,False,0.13,6.890000000000001
2020-06-01,100,13.0,,0.13,13.0
2020-06-02,86,13.0,,0.13,11.18
2020-06-03,63,13.0,,0.13,8.19
2020-06-04,57,13.0,,0.13,7.41
2020-06-05,59,13.0,,0.13,7.67
2020-06-06,68,13.0,,0.13,8.84
2020-06-07,47,12.0,False,0.12,5.64
2020-06-08,85,12.0,,0.12,10.2
2020-06-09,57,12.0,,0.12,6.84
2020-06-10,60,12.0,,0.12,7.199999999999999
2020-06-11,71,12.0,,0.12,8.52
2020-06-12,91,12.0,,0.12,10.92
2020-06-13,60,12.0,,0.12,7.199999999999999
2020-06-14,62,8.0,False,0.08,4.96
2020-06-15,51,8.0,,0.08,4.08
2020-06-16,35,8.0,,0.08,2.8000000000000003
2020-06-17,58,8.0,,0.08,4.64
2020-06-18,42,8.0,,0.08,3.36
2020-06-19,47,8.0,,0.08,3.7600000000000002
2020-06-20,33,8.0,,0.08,2.64
2020-06-21,55,9.0,False,0.09,4.95
2020-06-22,49,9.0,,0.09,4.41
2020-06-23,23,9.0,,0.09,2.07
2020-06-24,47,9.0,,0.09,4.2299999999999995
2020-06-25,33,9.0,,0.09,2.9699999999999998
2020-06-26,34,9.0,,0.09,3.06
2020-06-27,48,9.0,,0.09,4.32
2020-06-28,33,9.0,False,0.09,2.9699999999999998
2020-06-29,33,9.0,,0.09,2.9699999999999998
2020-06-30,56,9.0,,0.09,5.04
2020-07-01,26,9.0,,0.09,2.34
2020-07-02,33,9.0,,0.09,2.9699999999999998
2020-07-03,37,9.0,,0.09,3.33
2020-07-04,46,9.0,,0.09,4.14
2020-07-05,30,8.0,False,0.08,2.4
2020-07-06,39,8.0,,0.08,3.12
2020-07-07,19,8.0,,0.08,1.52
2020-07-08,29,8.0,,0.08,2.32
2020-07-09,31,8.0,,0.08,2.48
2020-07-10,30,8.0,,0.08,2.4
2020-07-11,11,8.0,,0.08,0.88
2020-07-12,11,9.0,False,0.09,0.99
2020-07-13,32,9.0,,0.09,2.88
2020-07-14,31,9.0,,0.09,2.79
2020-07-15,41,9.0,,0.09,3.69
2020-07-16,39,9.0,,0.09,3.51
2020-07-17,48,9.0,,0.09,4.32
2020-07-18,17,9.0,,0.09,1.53
2020-07-19,31,10.0,False,0.1,3.1
2020-07-20,44,10.0,,0.1,4.4
2020-07-21,32,10.0,,0.1,3.2
2020-07-22,46,10.0,,0.1,4.6000000000000005
2020-07-23,46,10.0,,0.1,4.6000000000000005
2020-07-24,20,10.0,,0.1,2.0
2020-07-25,25,10.0,,0.1,2.5
2020-07-26,45,14.0,False,0.14,6.300000000000001
2020-07-27,100,14.0,,0.14,14.000000000000002
2020-07-28,78,14.0,,0.14,10.920000000000002
2020-07-29,40,14.0,,0.14,5.6000000000000005
2020-07-30,52,14.0,,0.14,7.280000000000001
2020-07-31,49,14.0,,0.14,6.86
2020-08-01,54,14.0,,0.14,7.5600000000000005
2020-08-02,100,13.0,False,0.13,13.0
2020-08-03,57,13.0,,0.13,7.41
2020-08-04,52,13.0,,0.13,6.76
2020-08-05,56,13.0,,0.13,7.28
2020-08-06,50,13.0,,0.13,6.5
2020-08-07,57,13.0,,0.13,7.41
2020-08-08,42,13.0,,0.13,5.46
2020-08-09,47,11.0,False,0.11,5.17
2020-08-10,53,11.0,,0.11,5.83
2020-08-11,70,11.0,,0.11,7.7
2020-08-12,67,11.0,,0.11,7.37
2020-08-13,77,11.0,,0.11,8.47
2020-08-14,44,11.0,,0.11,4.84
2020-08-15,67,11.0,,0.11,7.37
2020-08-16,59,10.0,False,0.1,5.9
2020-08-17,53,10.0,,0.1,5.300000000000001
2020-08-18,48,10.0,,0.1,4.800000000000001
2020-08-19,43,10.0,,0.1,4.3
2020-08-20,60,10.0,,0.1,6.0
2020-08-21,67,10.0,,0.1,6.7
