date,bitcoin price usd_unscaled,bitcoin price usd_monthly,isPartial,scale,bitcoin price usd
2018-09-11,46,5.0,,0.05,2.3000000000000003
2018-09-12,28,5.0,,0.05,1.4000000000000001
2018-09-13,77,5.0,,0.05,3.85
2018-09-14,70,5.0,,0.05,3.5
2018-09-15,58,5.0,,0.05,2.9000000000000004
2018-09-16,61,6.0,False,0.06,3.6599999999999997
2018-09-17,44,6.0,,0.06,2.6399999999999997
2018-09-18,53,6.0,,0.06,3.1799999999999997
2018-09-19,54,6.0,,0.06,3.2399999999999998
2018-09-20,32,6.0,,0.06,1.92
2018-09-21,53,6.0,,0.06,3.1799999999999997
2018-09-22,54,6.0,,0.06,3.2399999999999998
2018-09-23,60,3.0,False,0.03,1.7999999999999998
2018-09-24,53,3.0,,0.03,1.5899999999999999
2018-09-25,50,3.0,,0.03,1.5
2018-09-26,28,3.0,,0.03,0.84
2018-09-27,47,3.0,,0.03,1.41
2018-09-28,26,3.0,,0.03,0.78
2018-09-29,29,3.0,,0.03,0.87
2018-09-30,45,4.0,False,0.04,1.8
2018-10-01,74,4.0,,0.04,2.96
2018-10-02,49,4.0,,0.04,1.96
2018-10-03,86,4.0,,0.04,3.44
2018-10-04,75,4.0,,0.04,3.0
2018-10-05,59,4.0,,0.04,2.36
2018-10-06,100,4.0,,0.04,4.0
2018-10-07,55,5.0,False,0.05,2.75
2018-10-08,62,5.0,,0.05,3.1
2018-10-09,42,5.0,,0.05,2.1
2018-10-10,82,5.0,,0.05,4.1000000000000005
2018-10-11,38,5.0,,0.05,1.9000000000000001
2018-10-12,94,5.0,,0.05,4.7
2018-10-13,66,5.0,,0.05,3.3000000000000003
2018-10-14,58,3.0,False,0.03,1.74
2018-10-15,57,3.0,,0.03,1.71
2018-10-16,44,3.0,,0.03,1.3199999999999998
2018-10-17,63,3.0,,0.03,1.89
2018-10-18,19,3.0,,0.03,0.57
2018-10-19,54,3.0,,0.03,1.6199999999999999
2018-10-20,36,3.0,,0.03,1.08
2018-10-21,43,3.0,False,0.03,1.29
2018-10-22,50,3.0,,0.03,1.5
2018-10-23,62,3.0,,0.03,1.8599999999999999
2018-10-24,25,3.0,,0.03,0.75
2018-10-25,50,3.0,,0.03,1.5
2018-10-26,46,3.0,,0.03,1.38
2018-10-27,35,3.0,,0.03,1.05
2018-10-28,41,3.0,False,0.03,1.23
2018-10-29,65,3.0,,0.03,1.95
2018-10-30,87,3.0,,0.03,2.61
2018-10-31,45,3.0,,0.03,1.3499999999999999
2018-11-01,21,3.0,,0.03,0.63
2018-11-02,19,3.0,,0.03,0.57
2018-11-03,24,3.0,,0.03,0.72
2018-11-04,20,3.0,False,0.03,0.6
2018-11-05,28,3.0,,0.03,0.84
2018-11-06,7,3.0,,0.03,0.21
2018-11-07,15,3.0,,0.03,0.44999999999999996
2018-11-08,29,3.0,,0.03,0.87
2018-11-09,21,3.0,,0.03,0.63
2018-11-10,23,3.0,,0.03,0.69
2018-11-11,12,5.0,False,0.05,0.6000000000000001
2018-11-12,27,5.0,,0.05,1.35
2018-11-13,13,5.0,,0.05,0.65
2018-11-14,43,5.0,,0.05,2.15
2018-11-15,55,5.0,,0.05,2.75
2018-11-16,38,5.0,,0.05,1.9000000000000001
2018-11-17,47,5.0,,0.05,2.35
2018-11-18,13,9.0,False,0.09,1.17
2018-11-19,57,9.0,,0.09,5.13
2018-11-20,70,9.0,,0.09,6.3
2018-11-21,84,9.0,,0.09,7.56
2018-11-22,64,9.0,,0.09,5.76
2018-11-23,35,9.0,,0.09,3.15
2018-11-24,63,9.0,,0.09,5.67
2018-11-25,100,10.0,False,0.1,10.0
2018-11-26,67,10.0,,0.1,6.7
2018-11-27,62,10.0,,0.1,6.2
2018-11-28,67,10.0,,0.1,6.7
2018-11-29,69,10.0,,0.1,6.9
2018-11-30,51,10.0,,0.1,5.1000000000000005
2018-12-01,52,10.0,,0.1,5.2
2018-12-02,59,10.0,False,0.1,5.9
2018-12-03,62,10.0,,0.1,6.2
2018-12-04,82,10.0,,0.1,8.200000000000001
2018-12-05,69,10.0,,0.1,6.9
2018-12-06,73,10.0,,0.1,7.300000000000001
2018-12-07,79,10.0,,0.1,7.9
2018-12-08,100,10.0,,0.1,10.0
2018-12-09,70,9.0,False,0.09,6.3
2018-12-10,78,9.0,,0.09,7.02
2018-12-11,60,9.0,,0.09,5.3999999999999995
2018-12-12,59,9.0,,0.09,5.31
2018-12-13,81,9.0,,0.09,7.29
2018-12-14,61,9.0,,0.09,5.49
2018-12-15,80,9.0,,0.09,7.199999999999999
2018-12-16,79,10.0,False,0.1,7.9
2018-12-17,58,10.0,,0.1,5.800000000000001
2018-12-18,68,10.0,,0.1,6.800000000000001
2018-12-19,75,10.0,,0.1,7.5
2018-12-20,84,10.0,,0.1,8.4
2018-12-21,71,10.0,,0.1,7.1000000000000005
2018-12-22,52,10.0,,0.1,5.2
2018-12-23,40,8.0,False,0.08,3.2
2018-12-24,70,8.0,,0.08,5.6000000000000005
2018-12-25,97,8.0,,0.08,7.76
2018-12-26,59,8.0,,0.08,4.72
2018-12-27,52,8.0,,0.08,4.16
2018-12-28,58,8.0,,0.08,4.64
2018-12-29,24,8.0,,0.08,1.92
2018-12-30,42,7.0,False,0.07,2.9400000000000004
2018-12-31,35,7.0,,0.07,2.45
2019-01-01,75,7.0,,0.07,5.250000000000001
2019-01-02,51,7.0,,0.07,3.5700000000000003
2019-01-03,98,7.0,,0.07,6.86
2019-01-04,68,7.0,,0.07,4.760000000000001
2019-01-05,79,7.0,,0.07,5.53
2019-01-06,49,6.0,False,0.06,2.94
2019-01-07,92,6.0,,0.06,5.52
2019-01-08,100,6.0,,0.06,6.0
2019-01-09,88,6.0,,0.06,5.279999999999999
2019-01-10,61,6.0,,0.06,3.6599999999999997
2019-01-11,45,6.0,,0.06,2.6999999999999997
2019-01-12,54,6.0,,0.06,3.2399999999999998
2019-01-13,53,6.0,False,0.06,3.1799999999999997
2019-01-14,98,6.0,,0.06,5.88
2019-01-15,60,6.0,,0.06,3.5999999999999996
2019-01-16,83,6.0,,0.06,4.9799999999999995
2019-01-17,56,6.0,,0.06,3.36
2019-01-18,63,6.0,,0.06,3.78
2019-01-19,63,6.0,,0.06,3.78
2019-01-20,93,4.0,False,0.04,3.72
2019-01-21,69,4.0,,0.04,2.7600000000000002
2019-01-22,38,4.0,,0.04,1.52
2019-01-23,46,4.0,,0.04,1.84
2019-01-24,72,4.0,,0.04,2.88
2019-01-25,61,4.0,,0.04,2.44
2019-01-26,64,4.0,,0.04,2.56
2019-01-27,19,4.0,False,0.04,0.76
2019-01-28,64,4.0,,0.04,2.56
2019-01-29,51,4.0,,0.04,2.04
2019-01-30,64,4.0,,0.04,2.56
2019-01-31,56,4.0,,0.04,2.24
2019-02-01,57,4.0,,0.04,2.2800000000000002
2019-02-02,47,4.0,,0.04,1.8800000000000001
2019-02-03,36,5.0,False,0.05,1.8
2019-02-04,69,5.0,,0.05,3.45
2019-02-05,46,5.0,,0.05,2.3000000000000003
2019-02-06,72,5.0,,0.05,3.6
2019-02-07,68,5.0,,0.05,3.4000000000000004
2019-02-08,90,5.0,,0.05,4.5
2019-02-09,62,5.0,,0.05,3.1
2019-02-10,46,3.0,False,0.03,1.38
2019-02-11,71,3.0,,0.03,2.13
2019-02-12,54,3.0,,0.03,1.6199999999999999
2019-02-13,58,3.0,,0.03,1.74
2019-02-14,64,3.0,,0.03,1.92
2019-02-15,67,3.0,,0.03,2.01
2019-02-16,26,3.0,,0.03,0.78
2019-02-17,26,6.0,False,0.06,1.56
2019-02-18,78,6.0,,0.06,4.68
2019-02-19,72,6.0,,0.06,4.32
2019-02-20,68,6.0,,0.06,4.08
2019-02-21,100,6.0,,0.06,6.0
2019-02-22,33,6.0,,0.06,1.98
2019-02-23,57,6.0,,0.06,3.42
2019-02-24,78,4.0,False,0.04,3.12
2019-02-25,49,4.0,,0.04,1.96
2019-02-26,73,4.0,,0.04,2.92
2019-02-27,49,4.0,,0.04,1.96
2019-02-28,69,4.0,,0.04,2.7600000000000002
2019-03-01,50,4.0,,0.04,2.0
2019-03-02,55,4.0,,0.04,2.2
2019-03-03,48,4.0,False,0.04,1.92
2019-03-04,43,4.0,,0.04,1.72
2019-03-05,91,4.0,,0.04,3.64
2019-03-06,57,4.0,,0.04,2.2800000000000002
2019-03-07,44,4.0,,0.04,1.76
2019-03-08,56,4.0,,0.04,2.24
2019-03-09,99,4.0,,0.04,3.96
2019-03-10,36,3.0,False,0.03,1.08
2019-03-11,58,3.0,,0.03,1.74
2019-03-12,85,3.0,,0.03,2.55
2019-03-13,53,3.0,,0.03,1.5899999999999999
2019-03-14,32,3.0,,0.03,0.96
2019-03-15,50,3.0,,0.03,1.5
2019-03-16,74,3.0,,0.03,2.2199999999999998
2019-03-17,49,5.0,False,0.05,2.45
2019-03-18,91,5.0,,0.05,4.55
2019-03-19,76,5.0,,0.05,3.8000000000000003
2019-03-20,97,5.0,,0.05,4.8500000000000005
2019-03-21,100,5.0,,0.05,5.0
2019-03-22,51,5.0,,0.05,2.5500000000000003
