date,bitcoin dollar_unscaled,bitcoin dollar_monthly,isPartial,scale,bitcoin dollar
2019-12-23,100,9.0,,0.09,9.0
2019-12-24,60,9.0,,0.09,5.3999999999999995
2019-12-25,78,9.0,,0.09,7.02
2019-12-26,63,9.0,,0.09,5.67
2019-12-27,90,9.0,,0.09,8.1
2019-12-28,54,9.0,,0.09,4.859999999999999
2019-12-29,30,9.0,False,0.09,2.6999999999999997
2019-12-30,65,9.0,,0.09,5.85
2019-12-31,89,9.0,,0.09,8.01
2020-01-01,53,9.0,,0.09,4.77
2020-01-02,50,9.0,,0.09,4.5
2020-01-03,56,9.0,,0.09,5.04
2020-01-04,55,9.0,,0.09,4.95
2020-01-05,41,11.0,False,0.11,4.51
2020-01-06,47,11.0,,0.11,5.17
2020-01-07,69,11.0,,0.11,7.59
2020-01-08,100,11.0,,0.11,11.0
2020-01-09,50,11.0,,0.11,5.5
2020-01-10,66,11.0,,0.11,7.26
2020-01-11,40,11.0,,0.11,4.4
2020-01-12,44,11.0,False,0.11,4.84
2020-01-13,36,11.0,,0.11,3.96
2020-01-14,53,11.0,,0.11,5.83
2020-01-15,62,11.0,,0.11,6.82
2020-01-16,54,11.0,,0.11,5.94
2020-01-17,48,11.0,,0.11,5.28
2020-01-18,80,11.0,,0.11,8.8
2020-01-19,39,11.0,False,0.11,4.29
2020-01-20,65,11.0,,0.11,7.15
2020-01-21,57,11.0,,0.11,6.2700000000000005
2020-01-22,46,11.0,,0.11,5.06
2020-01-23,57,11.0,,0.11,6.2700000000000005
2020-01-24,77,11.0,,0.11,8.47
2020-01-25,77,11.0,,0.11,8.47
2020-01-26,27,13.0,False,0.13,3.5100000000000002
2020-01-27,58,13.0,,0.13,7.54
2020-01-28,63,13.0,,0.13,8.19
2020-01-29,57,13.0,,0.13,7.41
2020-01-30,76,13.0,,0.13,9.88
2020-01-31,56,13.0,,0.13,7.28
2020-02-01,50,13.0,,0.13,6.5
2020-02-02,49,12.0,False,0.12,5.88
2020-02-03,58,12.0,,0.12,6.96
2020-02-04,70,12.0,,0.12,8.4
2020-02-05,41,12.0,,0.12,4.92
2020-02-06,77,12.0,,0.12,9.24
2020-02-07,88,12.0,,0.12,10.559999999999999
2020-02-08,62,12.0,,0.12,7.4399999999999995
2020-02-09,88,16.0,False,0.16,14.08
2020-02-10,90,16.0,,0.16,14.4
2020-02-11,100,16.0,,0.16,16.0
2020-02-12,87,16.0,,0.16,13.92
2020-02-13,89,16.0,,0.16,14.24
2020-02-14,65,16.0,,0.16,10.4
2020-02-15,75,16.0,,0.16,12.0
2020-02-16,73,14.0,False,0.14,10.22
2020-02-17,55,14.0,,0.14,7.700000000000001
