date,bitcoin mining_unscaled,bitcoin mining_monthly,isPartial,scale,bitcoin mining
2019-09-15,91,6.0,False,0.06,5.46
2019-09-16,59,6.0,,0.06,3.54
2019-09-17,76,6.0,,0.06,4.56
2019-09-18,75,6.0,,0.06,4.5
2019-09-19,100,6.0,,0.06,6.0
2019-09-20,80,6.0,,0.06,4.8
2019-09-21,76,6.0,,0.06,4.56
2019-09-22,90,7.0,False,0.07,6.300000000000001
2019-09-23,83,7.0,,0.07,5.8100000000000005
2019-09-24,92,7.0,,0.07,6.44
2019-09-25,53,7.0,,0.07,3.7100000000000004
2019-09-26,54,7.0,,0.07,3.7800000000000002
2019-09-27,56,7.0,,0.07,3.9200000000000004
2019-09-28,57,7.0,,0.07,3.99
2019-09-29,71,7.0,False,0.07,4.970000000000001
2019-09-30,81,7.0,,0.07,5.670000000000001
2019-10-01,54,7.0,,0.07,3.7800000000000002
2019-10-02,58,7.0,,0.07,4.0600000000000005
2019-10-03,54,7.0,,0.07,3.7800000000000002
2019-10-04,100,7.0,,0.07,7.000000000000001
2019-10-05,62,7.0,,0.07,4.340000000000001
2019-10-06,66,7.0,False,0.07,4.62
2019-10-07,50,7.0,,0.07,3.5000000000000004
2019-10-08,97,7.0,,0.07,6.790000000000001
2019-10-09,64,7.0,,0.07,4.48
2019-10-10,92,7.0,,0.07,6.44
2019-10-11,38,7.0,,0.07,2.66
2019-10-12,71,7.0,,0.07,4.970000000000001
2019-10-13,47,6.0,False,0.06,2.82
2019-10-14,50,6.0,,0.06,3.0
2019-10-15,37,6.0,,0.06,2.2199999999999998
2019-10-16,29,6.0,,0.06,1.74
2019-10-17,55,6.0,,0.06,3.3
2019-10-18,61,6.0,,0.06,3.6599999999999997
2019-10-19,66,6.0,,0.06,3.96
2019-10-20,75,6.0,False,0.06,4.5
2019-10-21,36,6.0,,0.06,2.16
2019-10-22,99,6.0,,0.06,5.9399999999999995
2019-10-23,49,6.0,,0.06,2.94
2019-10-24,57,6.0,,0.06,3.42
2019-10-25,74,6.0,,0.06,4.4399999999999995
2019-10-26,67,6.0,,0.06,4.02
2019-10-27,55,7.0,False,0.07,3.8500000000000005
2019-10-28,32,7.0,,0.07,2.24
2019-10-29,54,7.0,,0.07,3.7800000000000002
2019-10-30,58,7.0,,0.07,4.0600000000000005
2019-10-31,68,7.0,,0.07,4.760000000000001
2019-11-01,89,7.0,,0.07,6.23
2019-11-02,67,7.0,,0.07,4.69
2019-11-03,77,6.0,False,0.06,4.62
2019-11-04,97,6.0,,0.06,5.819999999999999
2019-11-05,59,6.0,,0.06,3.54
2019-11-06,68,6.0,,0.06,4.08
2019-11-07,59,6.0,,0.06,3.54
2019-11-08,56,6.0,,0.06,3.36
2019-11-09,72,6.0,,0.06,4.32
2019-11-10,56,6.0,False,0.06,3.36
2019-11-11,100,6.0,,0.06,6.0
2019-11-12,45,6.0,,0.06,2.6999999999999997
2019-11-13,50,6.0,,0.06,3.0
2019-11-14,49,6.0,,0.06,2.94
2019-11-15,81,6.0,,0.06,4.859999999999999
2019-11-16,79,6.0,,0.06,4.74
2019-11-17,61,6.0,False,0.06,3.6599999999999997
2019-11-18,73,6.0,,0.06,4.38
2019-11-19,78,6.0,,0.06,4.68
2019-11-20,74,6.0,,0.06,4.4399999999999995
2019-11-21,75,6.0,,0.06,4.5
2019-11-22,58,6.0,,0.06,3.48
2019-11-23,62,6.0,,0.06,3.7199999999999998
2019-11-24,81,6.0,False,0.06,4.859999999999999
2019-11-25,100,6.0,,0.06,6.0
2019-11-26,68,6.0,,0.06,4.08
2019-11-27,46,6.0,,0.06,2.76
2019-11-28,51,6.0,,0.06,3.06
2019-11-29,52,6.0,,0.06,3.12
2019-11-30,41,6.0,,0.06,2.46
2019-12-01,81,6.0,False,0.06,4.859999999999999
2019-12-02,73,6.0,,0.06,4.38
2019-12-03,49,6.0,,0.06,2.94
2019-12-04,28,6.0,,0.06,1.68
2019-12-05,66,6.0,,0.06,3.96
2019-12-06,81,6.0,,0.06,4.859999999999999
2019-12-07,43,6.0,,0.06,2.58
2019-12-08,47,6.0,False,0.06,2.82
2019-12-09,78,6.0,,0.06,4.68
2019-12-10,75,6.0,,0.06,4.5
2019-12-11,49,6.0,,0.06,2.94
2019-12-12,46,6.0,,0.06,2.76
2019-12-13,81,6.0,,0.06,4.859999999999999
2019-12-14,60,6.0,,0.06,3.5999999999999996
2019-12-15,65,6.0,False,0.06,3.9
2019-12-16,77,6.0,,0.06,4.62
2019-12-17,74,6.0,,0.06,4.4399999999999995
2019-12-18,49,6.0,,0.06,2.94
2019-12-19,81,6.0,,0.06,4.859999999999999
2019-12-20,49,6.0,,0.06,2.94
2019-12-21,52,6.0,,0.06,3.12
2019-12-22,61,6.0,False,0.06,3.6599999999999997
2019-12-23,35,6.0,,0.06,2.1
2019-12-24,52,6.0,,0.06,3.12
2019-12-25,67,6.0,,0.06,4.02
2019-12-26,94,6.0,,0.06,5.64
2019-12-27,44,6.0,,0.06,2.6399999999999997
2019-12-28,100,6.0,,0.06,6.0
2019-12-29,42,6.0,False,0.06,2.52
2019-12-30,39,6.0,,0.06,2.34
2019-12-31,56,6.0,,0.06,3.36
2020-01-01,55,6.0,,0.06,3.3
2020-01-02,55,6.0,,0.06,3.3
2020-01-03,60,6.0,,0.06,3.5999999999999996
2020-01-04,34,6.0,,0.06,2.04
2020-01-05,47,8.0,False,0.08,3.7600000000000002
2020-01-06,66,8.0,,0.08,5.28
2020-01-07,100,8.0,,0.08,8.0
2020-01-08,78,8.0,,0.08,6.24
2020-01-09,59,8.0,,0.08,4.72
2020-01-10,74,8.0,,0.08,5.92
2020-01-11,73,8.0,,0.08,5.84
2020-01-12,76,7.0,False,0.07,5.32
2020-01-13,78,7.0,,0.07,5.460000000000001
2020-01-14,69,7.0,,0.07,4.83
2020-01-15,43,7.0,,0.07,3.0100000000000002
2020-01-16,96,7.0,,0.07,6.720000000000001
2020-01-17,77,7.0,,0.07,5.390000000000001
2020-01-18,50,7.0,,0.07,3.5000000000000004
2020-01-19,67,8.0,False,0.08,5.36
2020-01-20,52,8.0,,0.08,4.16
2020-01-21,58,8.0,,0.08,4.64
2020-01-22,54,8.0,,0.08,4.32
2020-01-23,44,8.0,,0.08,3.52
2020-01-24,67,8.0,,0.08,5.36
2020-01-25,69,8.0,,0.08,5.5200000000000005
2020-01-26,56,6.0,False,0.06,3.36
2020-01-27,95,6.0,,0.06,5.7
2020-01-28,50,6.0,,0.06,3.0
2020-01-29,74,6.0,,0.06,4.4399999999999995
2020-01-30,52,6.0,,0.06,3.12
2020-01-31,32,6.0,,0.06,1.92
2020-02-01,69,6.0,,0.06,4.14
2020-02-02,71,7.0,False,0.07,4.970000000000001
2020-02-03,49,7.0,,0.07,3.43
2020-02-04,49,7.0,,0.07,3.43
2020-02-05,69,7.0,,0.07,4.83
2020-02-06,53,7.0,,0.07,3.7100000000000004
2020-02-07,55,7.0,,0.07,3.8500000000000005
2020-02-08,81,7.0,,0.07,5.670000000000001
2020-02-09,91,7.0,False,0.07,6.370000000000001
2020-02-10,70,7.0,,0.07,4.9
2020-02-11,37,7.0,,0.07,2.5900000000000003
2020-02-12,97,7.0,,0.07,6.790000000000001
2020-02-13,72,7.0,,0.07,5.040000000000001
2020-02-14,55,7.0,,0.07,3.8500000000000005
2020-02-15,94,7.0,,0.07,6.580000000000001
2020-02-16,100,7.0,False,0.07,7.000000000000001
2020-02-17,56,7.0,,0.07,3.9200000000000004
2020-02-18,55,7.0,,0.07,3.8500000000000005
2020-02-19,70,7.0,,0.07,4.9
